,Mobile_name,Colour,Price,Rating,No_of_Ratings,RAM,ROM,Screen_size,Rear_Camera,Front_camera,Battery(mAh),Processor,Brand
1253,Samsung Galaxy S20 ,Cosmic Gray,54990,4.3,212,8 ,128,15.75,64,10MP,4000,Exynos 990 ,Samsung
1254,Samsung Galaxy S8 Plus ,Midnight Black,53990,4.6,2003,4 ,64,15.75,12,8MP,3500,Exynos 8895 Octa Core 2.3GHz ,Samsung
1255,Samsung Galaxy S8 Plus ,Coral Blue,53990,4.6,2003,4 ,64,15.75,12,8MP,3500,Exynos 8895 Octa Core 2.3GHz ,Samsung
1256,Samsung Galaxy S8 Plus ,Orchid Grey,53990,4.6,2003,4 ,64,15.75,12,8MP,3500,8895 ,Samsung
1257,Samsung Galaxy S8 Plus ,Maple Gold,53990,4.6,2003,4 ,64,15.75,12,8MP,3500,Exynos 8895 Octa Core 2.3GHz ,Samsung
1258,Samsung Galaxy A80 ,Phantom Black,52962,4.4,5262,8 ,128,17.02,48,,3700,Qualcomm Snapdragon 730G Octa-Core ,Samsung
1259,Samsung Galaxy A80 ,Ghost White,52927,4.4,5262,8 ,128,17.02,48,,3700,Qualcomm Snapdragon 730G Octa-Core ,Samsung
1260,Samsung Galaxy A80 ,Angel Gold,52249,4.4,5262,8 ,128,17.02,48,,3700,Qualcomm Snapdragon 730G Octa-Core ,Samsung
1261,Samsung Galaxy S10 ,Prism White,50000,4.6,1754,8 ,512,15.49,16,10MP,3400,Exynos 9 9820 ,Samsung
1262,Samsung Galaxy S20+ ,Cosmic Gray,49999,4.5,10469,8 ,128,17.02,64 ,10MP,4500,Exynos 990 ,Samsung
1263,Samsung Galaxy S20+ ,Cosmic Black,49999,4.5,10469,8 ,128,17.02,64 ,10MP,4500,Exynos 990 ,Samsung
1264,Samsung Galaxy S10 Lite ,Prism Black,45999,4.5,11975,8 ,512,17.02,48,32MP,4500,Qualcomm Snapdragon 855 (SM8150) ,Samsung
1265,Samsung Galaxy S20 FE ,Cloud Navy,44999,4.6,27,8 ,128,16.51,12,32MP,4500,Exynos Octa Core ,Samsung
1266,Samsung Galaxy S20 FE ,Cloud White,44999,4.6,27,8 ,128,16.51,12,32MP,4500,Exynos Octa Core ,Samsung
1267,Samsung Galaxy S20 FE ,Cloud Red,44999,4.6,27,8 ,128,16.51,12,32MP,4500,Exynos Octa Core ,Samsung
1268,Samsung Galaxy S20 FE ,Cloud Mint,44999,4.6,27,8 ,128,16.51,12,32MP,4500,Exynos Octa Core ,Samsung
1269,Samsung Galaxy S20 FE ,Cloud Lavender,44999,4.6,27,8 ,128,16.51,12,32MP,4500,Exynos Octa Core ,Samsung
1270,Samsung Galaxy S10 Lite ,Prism Blue,39990,4.5,11975,8 ,128,17.02,48,32MP,4500,Qualcomm Snapdragon 855 (SM8150) ,Samsung
1271,Samsung Galaxy S10 Lite ,Prism Black,39990,4.5,11975,8 ,128,17.02,48,32MP,4500,Qualcomm Snapdragon 855 (SM8150) ,Samsung
1272,Samsung Galaxy S6 Edge ,Gold Platinum,37999,4,1209,3 ,32,12.95,16,5MP,2600,,Samsung
1273,Samsung Galaxy Note10 Lite ,Aura Glow,37990,4.4,335,6 ,128,17.02,12,32MP,4500,Exynos 9810 ,Samsung
1274,Samsung Galaxy S6 Edge ,Black Sapphire,37299,4,1209,3 ,32,12.95,16,5MP,2600,0 0 Octa Core 2.1GHz ,Samsung
1275,Samsung Galaxy Note10 Lite ,Aura Glow,36999,4.4,1265,8 ,128,17.02,12,32MP,4500,Exynos 9810 ,Samsung
1276,Samsung Galaxy Note10 Lite ,Aura Black,36999,4.4,1265,8 ,128,17.02,12,32MP,4500,Exynos 9810 ,Samsung
1277,Samsung Galaxy Note10 Lite ,Aura Black,34999,4.4,335,6 ,128,17.02,12,32MP,4500,Exynos 9810 ,Samsung
1278,Samsung Galaxy A8 Star ,White,34999,4.3,778,6 ,64,16.0,24,,3700,,Samsung
1279,Samsung Galaxy S7 Edge ,Gold Platinum,29999,4.4,3822,4 ,32,13.97,12,5MP,3600,Exynos 8890 Octa Core 2.3GHz ,Samsung
1280,Samsung Galaxy S7 Edge ,Black Onyx,29999,4.4,3822,4 ,32,13.97,12,5MP,3600,Exynos 8890 ,Samsung
1281,Samsung Galaxy A8 Plus ,Gold,29990,4.2,273,6 ,64,15.24,16,,3500,,Samsung
1282,Samsung Galaxy A71 ,Crush Silver,29499,4.4,3962,8 ,128,17.02,64,32MP,4500,Qualcomm SM7150 ,Samsung
1283,Samsung Galaxy A71 ,Crush Blue,29499,4.4,3962,8 ,128,17.02,64,32MP,4500,Qualcomm SM7150 ,Samsung
1284,Samsung Galaxy A71 ,Crush Black,29499,4.4,3962,8 ,128,17.02,64,32MP,4500,Qualcomm SM7150 ,Samsung
1285,Samsung Galaxy A8 Star ,Black,27000,4.3,778,6 ,64,16.0,24,,3700,,Samsung
1286,Samsung Galaxy A70 ,White,26499,4.3,5240,6 ,128,17.02,32,32MP,4500,"Octa core (2 GHz, Dual core, Kryo 460 + 1.7 GHz, Hexa Core, Kryo 460) ",Samsung
1287,Samsung Galaxy A70s ,Crush White,25999,4.4,962,8 ,128,17.02,64,32MP,4500,Qualcomm SM6150 ,Samsung
1288,Samsung Galaxy A70s ,Crush Red,25999,4.4,962,8 ,128,17.02,64,32MP,4500,Qualcomm SM6150 ,Samsung
1289,Samsung Galaxy A6+ ,Blue,25600,4.4,4208,4 ,64,15.24,16,24MP,3500,,Samsung
